event_id,date,event_time,source,event_type,agent,counterparty,channel,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail,payload
7085,2023-02-13,2023-02-13 11:28:05,portfolio,trade,FreeRiderAgent,,,DELTA,SELL,42,110.5274,4642.1508,12722.946133300045,77976.46783330005,-22023.53216669995,-0.22023532166699955,"SELL 42 DELTA @ 110.53，成交额 4,642.15，手续费 4.64","{""date"": ""2023-02-13"", ""agent"": ""FreeRiderAgent"", ""ticker"": ""DELTA"", ""side"": ""SELL"", ""shares"": 42, ""price"": 110.5274, ""fee"": 4.6421508000000005, ""note"": ""FreeRiderAgent: own strategy blended with communicated beliefs."", ""notional"": 4642.1508, ""cash_after"": 12722.946133300045, ""equity_after"": 77976.46783330005}"
7086,2023-02-13,2023-02-13 11:28:06,portfolio,trade,FreeRiderAgent,,,GAMMA,SELL,25,43.4725,1086.8125,13808.671820800046,77975.38102080004,-22024.618979199964,-0.2202461897919996,"SELL 25 GAMMA @ 43.47，成交额 1,086.81，手续费 1.09","{""date"": ""2023-02-13"", ""agent"": ""FreeRiderAgent"", ""ticker"": ""GAMMA"", ""side"": ""SELL"", ""shares"": 25, ""price"": 43.4725, ""fee"": 1.0868125, ""note"": ""FreeRiderAgent: own strategy blended with communicated beliefs."", ""notional"": 1086.8125, ""cash_after"": 13808.671820800046, ""equity_after"": 77975.38102080004}"
7087,2023-02-13,2023-02-13 11:28:07,portfolio,decision,ContrarianAgent,,,,,0,0.0,0.0,4895.2539808,65533.29518080001,-34466.70481919999,-0.3446670481919999,"目标仓位：OMEGA 35.0%, SIGMA 32.0%, GAMMA 10.4%。ContrarianAgent: own strategy blended with communicated beliefs.","{""target_weights"": {""ALPHA"": 0.09115923608987318, ""BETA"": 0.02826100045464846, ""DELTA"": 0.04686109241005984, ""GAMMA"": 0.10351084301538592, ""OMEGA"": 0.35, ""SIGMA"": 0.3202749954128906}, ""note"": ""ContrarianAgent: own strategy blended with communicated beliefs.""}"
7088,2023-02-13,2023-02-13 11:28:08,portfolio,trade,ContrarianAgent,,,ALPHA,BUY,42,45.8689,1926.4937999999997,2966.8336870000003,65531.368687,-34468.631313,-0.34468631313,"BUY 42 ALPHA @ 45.87，成交额 1,926.49，手续费 1.93","{""date"": ""2023-02-13"", ""agent"": ""ContrarianAgent"", ""ticker"": ""ALPHA"", ""side"": ""BUY"", ""shares"": 42, ""price"": 45.8689, ""fee"": 1.9264937999999998, ""note"": ""ContrarianAgent: own strategy blended with communicated beliefs."", ""notional"": 1926.4937999999997, ""cash_after"": 2966.8336870000003, ""equity_after"": 65531.368687}"
7089,2023-02-13,2023-02-13 11:28:09,portfolio,trade,ContrarianAgent,,,DELTA,BUY,15,110.5274,1657.911,1307.2647760000002,65529.710776,-34470.289224,-0.34470289223999995,"BUY 15 DELTA @ 110.53，成交额 1,657.91，手续费 1.66","{""date"": ""2023-02-13"", ""agent"": ""ContrarianAgent"", ""ticker"": ""DELTA"", ""side"": ""BUY"", ""shares"": 15, ""price"": 110.5274, ""fee"": 1.6579110000000001, ""note"": ""ContrarianAgent: own strategy blended with communicated beliefs."", ""notional"": 1657.911, ""cash_after"": 1307.2647760000002, ""equity_after"": 65529.710776}"
7090,2023-02-13,2023-02-13 11:28:10,portfolio,trade,ContrarianAgent,,,GAMMA,SELL,38,43.4725,1651.955,2957.567821,65528.05882099999,-34471.94117900001,-0.3447194117900001,"SELL 38 GAMMA @ 43.47，成交额 1,651.95，手续费 1.65","{""date"": ""2023-02-13"", ""agent"": ""ContrarianAgent"", ""ticker"": ""GAMMA"", ""side"": ""SELL"", ""shares"": 38, ""price"": 43.4725, ""fee"": 1.651955, ""note"": ""ContrarianAgent: own strategy blended with communicated beliefs."", ""notional"": 1651.955, ""cash_after"": 2957.567821, ""equity_after"": 65528.05882099999}"
7091,2023-02-13,2023-02-13 11:28:11,portfolio,trade,ContrarianAgent,,,SIGMA,SELL,9,111.8437,1006.5933,3963.1545277,65527.0522277,-34472.9477723,-0.344729477723,"SELL 9 SIGMA @ 111.84，成交额 1,006.59，手续费 1.01","{""date"": ""2023-02-13"", ""agent"": ""ContrarianAgent"", ""ticker"": ""SIGMA"", ""side"": ""SELL"", ""shares"": 9, ""price"": 111.8437, ""fee"": 1.0065933, ""note"": ""ContrarianAgent: own strategy blended with communicated beliefs."", ""notional"": 1006.5933, ""cash_after"": 3963.1545277, ""equity_after"": 65527.0522277}"
7092,2023-02-13,2023-02-13 11:28:12,portfolio,decision,SocialGraphAgent,,,,,0,0.0,0.0,13037.625528100016,60575.139428100025,-39424.860571899975,-0.3942486057189998,"目标仓位：OMEGA 29.5%, GAMMA 28.6%, ALPHA 16.7%。社交图谱型：按有向图影响力混合团队与通信信念。","{""target_weights"": {""ALPHA"": 0.166563858156334, ""BETA"": 0.04322212862088299, ""DELTA"": 0.09363751370437778, ""GAMMA"": 0.2855432002684332, ""OMEGA"": 0.2952420322203449, ""SIGMA"": 0.065791267029627}, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。""}"
7093,2023-02-13,2023-02-13 11:28:13,portfolio,trade,SocialGraphAgent,,,BETA,SELL,14,52.4088,733.7232,13770.615004900015,60574.40570490001,-39425.59429509999,-0.39425594295099986,SELL 14 BETA @ 52.41，成交额 733.72，手续费 0.73,"{""date"": ""2023-02-13"", ""agent"": ""SocialGraphAgent"", ""ticker"": ""BETA"", ""side"": ""SELL"", ""shares"": 14, ""price"": 52.4088, ""fee"": 0.7337232, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。"", ""notional"": 733.7232, ""cash_after"": 13770.615004900015, ""equity_after"": 60574.40570490001}"
7094,2023-02-13,2023-02-13 11:28:14,portfolio,trade,SocialGraphAgent,,,DELTA,BUY,29,110.5274,3205.2946,10562.115110300016,60571.200410300014,-39428.799589699986,-0.3942879958969998,"BUY 29 DELTA @ 110.53，成交额 3,205.29，手续费 3.21","{""date"": ""2023-02-13"", ""agent"": ""SocialGraphAgent"", ""ticker"": ""DELTA"", ""side"": ""BUY"", ""shares"": 29, ""price"": 110.5274, ""fee"": 3.2052946, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。"", ""notional"": 3205.2946, ""cash_after"": 10562.115110300016, ""equity_after"": 60571.200410300014}"
