date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-14,CommitteeTeamAgent,601899,BUY,3036,11.06,33.578160000000004,CommitteeTeamAgent: own strategy blended with communicated beliefs.,33578.16,5587.361680000009,99905.68168000001
2021-05-14,DynamicTeamAgent,000002,BUY,172,27.07,4.65604,DynamicTeamAgent: own strategy blended with communicated beliefs.,4656.04,95339.30396,99995.34396
2021-05-14,DynamicTeamAgent,000333,BUY,83,76.44,6.344519999999999,DynamicTeamAgent: own strategy blended with communicated beliefs.,6344.5199999999995,88988.43944,99988.99944
2021-05-14,DynamicTeamAgent,000858,BUY,12,287.0,3.444,DynamicTeamAgent: own strategy blended with communicated beliefs.,3444.0,85540.99544,99985.55544
2021-05-14,DynamicTeamAgent,002415,BUY,225,60.69,13.65525,DynamicTeamAgent: own strategy blended with communicated beliefs.,13655.25,71872.09019,99971.90019
2021-05-14,DynamicTeamAgent,002594,BUY,116,153.53,17.80948,DynamicTeamAgent: own strategy blended with communicated beliefs.,17809.48,54044.80071,99954.09070999999
2021-05-14,DynamicTeamAgent,300750,BUY,21,359.0,7.539000000000001,DynamicTeamAgent: own strategy blended with communicated beliefs.,7539.0,46498.261710000006,99946.55171
2021-05-14,DynamicTeamAgent,600036,BUY,65,54.98,3.5737,DynamicTeamAgent: own strategy blended with communicated beliefs.,3573.7,42920.98801000001,99942.97800999999
2021-05-14,DynamicTeamAgent,600519,BUY,1,2009.85,2.00985,DynamicTeamAgent: own strategy blended with communicated beliefs.,2009.85,40909.12816000001,99940.96815999999
2021-05-14,DynamicTeamAgent,601318,BUY,24,71.18,1.7083200000000003,DynamicTeamAgent: own strategy blended with communicated beliefs.,1708.3200000000002,39199.09984000001,99939.25984
2021-05-14,DynamicTeamAgent,601899,BUY,3036,11.06,33.578160000000004,DynamicTeamAgent: own strategy blended with communicated beliefs.,33578.16,5587.361680000009,99905.68168000001
2021-05-14,TruthfulReporterAgent,000858,BUY,32,287.0,9.184000000000001,TruthfulReporterAgent: own strategy blended with communicated beliefs.,9184.0,90806.816,99990.816
2021-05-14,TruthfulReporterAgent,002415,BUY,418,60.69,25.36842,TruthfulReporterAgent: own strategy blended with communicated beliefs.,25368.42,65413.02758000001,99965.44758000001
2021-05-14,TruthfulReporterAgent,300750,BUY,31,359.0,11.129,TruthfulReporterAgent: own strategy blended with communicated beliefs.,11129.0,54272.89858000001,99954.31858
2021-05-14,TruthfulReporterAgent,600036,BUY,322,54.98,17.70356,TruthfulReporterAgent: own strategy blended with communicated beliefs.,17703.559999999998,36551.63502000001,99936.61502
2021-05-14,TruthfulReporterAgent,601899,BUY,2822,11.06,31.21132,TruthfulReporterAgent: own strategy blended with communicated beliefs.,31211.32,5309.103700000011,99905.4037
2021-05-14,PersuaderAgent,000002,BUY,392,27.07,10.61144,PersuaderAgent: own strategy blended with communicated beliefs.,10611.44,89377.94856,99989.38856
2021-05-14,PersuaderAgent,000333,BUY,178,76.44,13.60632,PersuaderAgent: own strategy blended with communicated beliefs.,13606.32,75758.02224,99975.78224
2021-05-14,PersuaderAgent,002415,BUY,123,60.69,7.46487,PersuaderAgent: own strategy blended with communicated beliefs.,7464.87,68285.68737,99968.31737
2021-05-14,PersuaderAgent,002594,BUY,88,153.53,13.51064,PersuaderAgent: own strategy blended with communicated beliefs.,13510.64,54761.53673,99954.80673000001
2021-05-14,PersuaderAgent,300750,BUY,44,359.0,15.796000000000001,PersuaderAgent: own strategy blended with communicated beliefs.,15796.0,38949.74073,99939.01073000001
